Date,Name,Weekday,Type
25-08-2016,Janmashtami,THURSDAY,Gazetted Holiday
05-09-2016,Ganesh Chaturthi/Vinayaka Chaturthi,MONDAY,Restricted Holiday
13-09-2016,Bakr Id/Eid ul-Adha,MONDAY,Gazetted Holiday
14-09-2016,Onam,WEDNESDAY,Restricted Holiday
02-10-2016,Mahatma Gandhi Jayanti,SUNDAY,Gazetted Holiday
11-10-2016,Dussehra,MONDAY,Gazetted Holiday
12-10-2016,Muharram/Ashura,WEDNESDAY,Gazetted Holiday
30-10-2016,Diwali/Deepavali,SUNDAY,Gazetted Holiday
31-10-2016,Halloween,MONDAY,Observance
01-11-2016,Bhai Duj,MONDAY,Restricted Holiday
14-11-2016,Guru Nanak Jayanti,MONDAY,Gazetted Holiday
13-12-2016,Milad un-Nabi/Id-e-Milad,MONDAY,Gazetted Holiday
24-12-2016,Christmas Eve,SATURDAY,Restricted Holiday
25-12-2016,Christmas,SUNDAY,Gazetted Holiday
31-12-2016,New Year's Eve,SATURDAY,Observance
01-01-2017,New Year's Day,SUNDAY,Restricted Holiday
05-01-2017,Guru Govind Singh Jayanti,THURSDAY,Restricted Holiday
14-01-2017,Makar Sankranti,SATURDAY,Restricted Holiday
26-01-2017,Republic Day,THURSDAY,Gazetted Holiday
14-02-2017,Valentine's Day,MONDAY,Observance
19-02-2017,Shivaji Jayanti,SUNDAY,Restricted Holiday
24-02-2017,Maha Shivaratri/Shivaratri,FRIDAY,Gazetted Holiday
12-03-2017,Holika Dahana,SUNDAY,Restricted Holiday
13-03-2017,Holi,MONDAY,Gazetted Holiday
04-04-2017,Rama Navami,MONDAY,Gazetted Holiday
09-04-2017,Mahavir Jayanti,SUNDAY,Gazetted Holiday
14-04-2017,Good Friday,FRIDAY,Gazetted Holiday
16-04-2017,Easter Day,SUNDAY,Restricted Holiday
01-05-2017,May Day,MONDAY,Observance
10-05-2017,Buddha Purnima/Vesak,WEDNESDAY,Gazetted Holiday
14-05-2017,Mother's Day,SUNDAY,Observance
18-06-2017,Father's Day,SUNDAY,Observance
23-06-2017,Jamat Ul-Vida,FRIDAY,Restricted Holiday
26-06-2017,Ramzan Id/Eid-ul-Fitar,MONDAY,Gazetted Holiday
09-07-2017,Guru Purnima,SUNDAY,Observance
06-08-2017,Friendship Day,SUNDAY,Observance
07-08-2017,Raksha Bandhan (Rakhi),MONDAY,Restricted Holiday
15-08-2017,Independence Day,MONDAY,Gazetted Holiday
17-08-2017,Parsi New Year,THURSDAY,Restricted Holiday
25-08-2017,Ganesh Chaturthi/Vinayaka Chaturthi,FRIDAY,Restricted Holiday
02-09-2017,Bakr Id/Eid ul-Adha,SATURDAY,Gazetted Holiday
04-09-2017,Onam,MONDAY,Restricted Holiday
29-09-2017,Maha Navami,FRIDAY,Restricted Holiday
30-09-2017,Dussehra,SATURDAY,Gazetted Holiday
01-10-2017,Muharram/Ashura,SUNDAY,Gazetted Holiday
02-10-2017,Mahatma Gandhi Jayanti,MONDAY,Gazetted Holiday
19-10-2017,Diwali/Deepavali,THURSDAY,Gazetted Holiday
21-10-2017,Bhai Duj,SATURDAY,Restricted Holiday
31-10-2017,Halloween,MONDAY,Observance
04-11-2017,Guru Nanak Jayanti,SATURDAY,Gazetted Holiday
02-12-2017,Milad un-Nabi/Id-e-Milad,SATURDAY,Gazetted Holiday
24-12-2017,Christmas Eve,SUNDAY,Restricted Holiday
25-12-2017,Christmas,MONDAY,Gazetted Holiday
31-12-2017,New Year's Eve,SUNDAY,Observance
